project,sha,category,reason,violation,reasons,discard,
contentful-contentful.java,280e3326ca30746a4db66ccde2a7073da3142a07,category 1.3.2.1,found by mop and missed by ps1c ps3cl mopCache mopCacheShared online incrementalJar jarThreads cleanByteCode storeHashes incrementalJarThreads cleanByteCodeThreads storeHashesThreads methodCIA dynamicCIA classCIA methodCIAThreads classCIAThreads dynamicCIAThreads,Specification Collection_UnsafeIterator has been violated on line okhttp3.mockwebserver.MockWebServer$2.execute(MockWebServer.java:331),flaky - mop didn't find initially,TRUE,
contentful-contentful.java,de938fd4c6987511b1edf6c076507a7ce972d063,category 3,not found,Specification Closeable_MultipleClose has been violated on line okhttp3.mockwebserver.MockWebServer$3.processConnection(MockWebServer.java:469),flaky - mop even mop cannot find,TRUE,
contentful-contentful.java,7cfc170989c3ecec86bc7c6c95876f498ed0ec1c,category 1.2.1,found by mop and missed by jarThreads cleanByteCode storeHashes cleanByteCodeThreads storeHashesThreads methodCIA dynamicCIA classCIA methodCIAThreads classCIAThreads dynamicCIAThreads,Specification Collection_UnsafeIterator has been violated on line okhttp3.mockwebserver.MockWebServer$2.execute(MockWebServer.java:378),false positive - reused old bytecode so outdated line number,TRUE,
contentful-contentful.java,7cfc170989c3ecec86bc7c6c95876f498ed0ec1c,category 1.2.2,found by mop and missed by methodCIA methodCIAThreads,Specification Closeable_MultipleClose has been violated on line okhttp3.mockwebserver.MockWebServer$3.processConnection(MockWebServer.java:526),unsafe - static analysis,FALSE,
contentful-contentful.java,306f19c4732889a490828fcdac92b5f91ddc51d1,category 1.2.2,found by mop and missed by methodCIA methodCIAThreads,Specification Closeable_MultipleClose has been violated on line okhttp3.mockwebserver.MockWebServer$3.processConnection(MockWebServer.java:527),false positive - not new violation,TRUE,
contentful-contentful.java,e311e24110cfbafd54c07f1291c5cd1752d8707b,category 1.2.1,found by mop and missed by cleanByteCode storeHashes cleanByteCodeThreads storeHashesThreads methodCIA dynamicCIA classCIA methodCIAThreads classCIAThreads dynamicCIAThreads,Specification Collection_UnsafeIterator has been violated on line okhttp3.mockwebserver.MockWebServer$2.execute(MockWebServer.java:378),false positive - reused old bytecode so outdated line number,TRUE,
davidmoten-rxjava2-file,e26b35b55a963d8379e5c2cf1104bd5a86afeca3,category 2,found by ps3cl,Specification Closeable_MultipleClose has been violated on line com.github.davidmoten.rx.internal.operators.OnSubscribeWatchServiceEvents.nextKey(OnSubscribeWatchServiceEvents.java:111),flaky - finding more than mop,TRUE,
devcon5io-mutation-analysis-plugin,9da5157a8b9c1c668ce85b2baacc8e410d21c4c3,category 1.?,found by mop and missed by mopCache,Specification SortedSet_Comparable has been violated on line ch.devcon5.sonar.plugins.mutationanalysis.sensors.ReportCollector.getModulePaths(ReportCollector.java:114),mopCache failed,FALSE,
devcon5io-mutation-analysis-plugin,9da5157a8b9c1c668ce85b2baacc8e410d21c4c3,category 1.?,found by mop and missed by mopCache,Specification SortedSet_Comparable has been violated on line ch.devcon5.sonar.plugins.mutationanalysis.sensors.ReportCollector.getModulePaths(ReportCollector.java:117),mopCache failed,FALSE,
devcon5io-mutation-analysis-plugin,9da5157a8b9c1c668ce85b2baacc8e410d21c4c3,category 1.?,found by mop and missed by mopCache,Specification TreeSet_Comparable has been violated on line ch.devcon5.sonar.plugins.mutationanalysis.sensors.ReportCollector.getModulePaths(ReportCollector.java:114),mopCache failed,FALSE,
devcon5io-mutation-analysis-plugin,9da5157a8b9c1c668ce85b2baacc8e410d21c4c3,category 1.?,found by mop and missed by mopCache,Specification TreeSet_Comparable has been violated on line ch.devcon5.sonar.plugins.mutationanalysis.sensors.ReportCollector.getModulePaths(ReportCollector.java:117),mopCache failed,FALSE,
devcon5io-mutation-analysis-plugin,2a5452de27ab86040dd0f17f4fda371bea121599,category 1.?,found by mop and missed by mopCache,Specification SortedSet_Comparable has been violated on line ch.devcon5.sonar.plugins.mutationanalysis.sensors.ReportCollector.getModulePaths(ReportCollector.java:133),mopCache failed,FALSE,
devcon5io-mutation-analysis-plugin,2a5452de27ab86040dd0f17f4fda371bea121599,category 1.?,found by mop and missed by mopCache,Specification SortedSet_Comparable has been violated on line ch.devcon5.sonar.plugins.mutationanalysis.sensors.ReportCollector.getModulePaths(ReportCollector.java:136),mopCache failed,FALSE,
devcon5io-mutation-analysis-plugin,2a5452de27ab86040dd0f17f4fda371bea121599,category 1.?,found by mop and missed by mopCache,Specification TreeSet_Comparable has been violated on line ch.devcon5.sonar.plugins.mutationanalysis.sensors.ReportCollector.getModulePaths(ReportCollector.java:133),mopCache failed,FALSE,
devcon5io-mutation-analysis-plugin,2a5452de27ab86040dd0f17f4fda371bea121599,category 1.?,found by mop and missed by mopCache,Specification TreeSet_Comparable has been violated on line ch.devcon5.sonar.plugins.mutationanalysis.sensors.ReportCollector.getModulePaths(ReportCollector.java:136),mopCache failed,FALSE,
devcon5io-mutation-analysis-plugin,7db71f8fa215347f4510197854ff721b9f8242c1,category 1.1.1,found by mop and missed by ps3cl mopCache,Specification ListIterator_Set has been violated on line org.sonar.api.internal.google.common.collect.ImmutableList.iterator(ImmutableList.java:340),"unsafe - never see before, mopCache failed",FALSE,event in library
devcon5io-mutation-analysis-plugin,543421ab5d02687b427a6e68f67a95b24e4c4dde,category 1.?,found by mop and missed by mopCache,Specification Iterator_HasNext has been violated on line ch.devcon5.sonar.plugins.mutationanalysis.report.PitestReportParserTest.parseReport_findMutants_withNumberOfTests(PitestReportParserTest.java:159),mopCache failed,FALSE,
fsantiag-sonar-clojure,6b6056f0b74bdc800ca7eee0565ef42bb28ffb5c,category 1.1.3,found by mop and missed by ps1c ps3cl,Specification Collection_HashCode has been violated on line org.sonar.api.internal.google.common.collect.RegularImmutableSortedSet.<clinit>(RegularImmutableSortedSet.java:1),unsafe - never see before,FALSE,likely due to lib not instr bug
gabrie-allaigre-sonar-gitlab-plugin,45052690dbd99d884b4ed3d1f20110a6e0100c16,category 1.2.2,found by mop and missed by methodCIA methodCIAThreads,Specification ListIterator_hasNextPrevious has been violated on line com.google.common.collect.LinkedListMultimap$ValueForKeyIterator.<init>(LinkedListMultimap.java:479),unsafe - static analysis,FALSE,
googleapis-java-pubsub-group-kafka-connector,80ac5c3277b3f4859d70549f953d42fa23114ccd,category 1.2.1,found by mop and missed by cleanByteCode storeHashes cleanByteCodeThreads storeHashesThreads methodCIA dynamicCIA classCIA methodCIAThreads classCIAThreads dynamicCIAThreads,Specification Iterator_HasNext has been violated on line com.google.common.collect.ImmutableMultimap$1.hasNext(ImmutableMultimap.java:593),false positive - reused old bytecode so outdated line number,TRUE,
googleapis-java-pubsub-group-kafka-connector,80ac5c3277b3f4859d70549f953d42fa23114ccd,category 1.2.1,found by mop and missed by cleanByteCode storeHashes cleanByteCodeThreads storeHashesThreads methodCIA dynamicCIA classCIA methodCIAThreads classCIAThreads dynamicCIAThreads,Specification Iterator_HasNext has been violated on line com.google.common.collect.ImmutableMultimap$1.next(ImmutableMultimap.java:607),false positive - reused old bytecode so outdated line number,TRUE,
google-compile-testing,3f1f22201d9cd0a2f1d5b3255e5787645f098d5c,category 1.2.1,found by mop and missed by cleanByteCode storeHashes cleanByteCodeThreads storeHashesThreads methodCIA dynamicCIA classCIA methodCIAThreads classCIAThreads dynamicCIAThreads,Specification Iterator_HasNext has been violated on line com.google.common.collect.Iterators.getOnlyElement(Iterators.java:301),false positive - reused old bytecode so outdated line number,TRUE,
google-compile-testing,3f1f22201d9cd0a2f1d5b3255e5787645f098d5c,category 1.2.1,found by mop and missed by cleanByteCode storeHashes cleanByteCodeThreads storeHashesThreads methodCIA dynamicCIA classCIA methodCIAThreads classCIAThreads dynamicCIAThreads,Specification ListIterator_Set has been violated on line com.google.common.collect.ImmutableList.iterator(ImmutableList.java:382),false positive - reused old bytecode so outdated line number,TRUE,
google-compile-testing,ac382a970e3b574454bd8760b5e184afdee5f172,category 1.1.3,found by mop and missed by ps1c ps3cl,Specification Iterator_RemoveOnce has been violated on line com.google.common.truth.StackTraceCleaner.clean(StackTraceCleaner.java:135),false positive - not new violation,TRUE,
google-compile-testing,2a47a5333134a3d0de68d8ddddf4d1b6e75f8012,category 1.3.2.1,found by mop and missed by ps1c ps3cl cleanByteCode storeHashes cleanByteCodeThreads storeHashesThreads methodCIA dynamicCIA classCIA methodCIAThreads classCIAThreads dynamicCIAThreads,Specification Closeable_MeaninglessClose has been violated on line com.google.common.io.Closer.close(Closer.java:213),false positive - reused old bytecode so outdated line number,TRUE,
